cycle,timestamp,service,p95_ms,throughput_rps,cpu_cores
1,2026-05-28T03:22:12.890954,frontend,83.5,4.9338,0.0
1,2026-05-28T03:22:12.890954,productcatalogservice,3.44,26.9129,0.0
1,2026-05-28T03:22:12.890954,checkoutservice,238.75,0.1333,0.0
1,2026-05-28T03:22:12.890954,cartservice,4.86,4.9115,0.0
1,2026-05-28T03:22:12.890954,recommendationservice,6.68,3.6225,0.0
2,2026-05-28T03:22:42.962411,frontend,69.75,4.667,0.0
2,2026-05-28T03:22:42.962411,productcatalogservice,3.82,29.8233,0.0
2,2026-05-28T03:22:42.962411,checkoutservice,242.5,0.0444,0.0
2,2026-05-28T03:22:42.962411,cartservice,4.94,4.3558,0.0
2,2026-05-28T03:22:42.962411,recommendationservice,8.24,3.8003,0.0
3,2026-05-28T03:23:13.018772,frontend,55.62,5.6454,0.0
3,2026-05-28T03:23:13.018772,productcatalogservice,3.45,33.6493,0.0
3,2026-05-28T03:23:13.018772,checkoutservice,97.5,0.1334,0.0
3,2026-05-28T03:23:13.018772,cartservice,4.87,5.5565,0.0
3,2026-05-28T03:23:13.018772,recommendationservice,7.23,4.2896,0.0
4,2026-05-28T03:23:43.060852,frontend,86.87,5.3121,0.0
4,2026-05-28T03:23:43.060852,productcatalogservice,2.9,28.5146,0.0
4,2026-05-28T03:23:43.060852,checkoutservice,235.0,0.2667,0.0
4,2026-05-28T03:23:43.060852,cartservice,4.82,5.2898,0.0
4,2026-05-28T03:23:43.060852,recommendationservice,6.32,3.5784,0.0
5,2026-05-28T03:24:13.107752,frontend,151.75,5.6009,0.0
5,2026-05-28T03:24:13.107752,productcatalogservice,3.06,29.6488,0.0
5,2026-05-28T03:24:13.107752,checkoutservice,232.5,0.3112,0.0
5,2026-05-28T03:24:13.107752,cartservice,4.79,5.7342,0.0
5,2026-05-28T03:24:13.107752,recommendationservice,5.6,3.7562,0.0
6,2026-05-28T03:24:43.149358,frontend,63.25,4.8007,0.0
6,2026-05-28T03:24:43.149358,productcatalogservice,3.12,25.58,0.0
6,2026-05-28T03:24:43.149358,checkoutservice,238.75,0.0445,0.0
6,2026-05-28T03:24:43.149358,cartservice,4.79,4.6452,0.0
6,2026-05-28T03:24:43.149358,recommendationservice,4.96,3.2227,0.0
7,2026-05-28T03:25:13.219436,frontend,83.0,5.0006,0.0
7,2026-05-28T03:25:13.219436,productcatalogservice,3.48,29.0473,0.0
7,2026-05-28T03:25:13.219436,checkoutservice,450.0,0.1778,0.0
7,2026-05-28T03:25:13.219436,cartservice,4.82,4.9562,0.0
7,2026-05-28T03:25:13.219436,recommendationservice,6.3,3.6449,0.0
8,2026-05-28T03:25:43.273879,frontend,103.0,6.1565,0.0
8,2026-05-28T03:25:43.273879,productcatalogservice,2.72,33.4489,0.0
8,2026-05-28T03:25:43.273879,checkoutservice,456.25,0.3112,0.0
8,2026-05-28T03:25:43.273879,cartservice,4.78,5.9787,0.0
8,2026-05-28T03:25:43.273879,recommendationservice,4.88,4.2451,0.0
9,2026-05-28T03:26:13.323232,frontend,87.92,5.5564,0.0
9,2026-05-28T03:26:13.323232,productcatalogservice,2.36,29.9366,0.0
9,2026-05-28T03:26:13.323232,checkoutservice,468.75,0.1778,0.0
9,2026-05-28T03:26:13.323232,cartservice,4.78,5.3341,0.0
9,2026-05-28T03:26:13.323232,recommendationservice,4.82,3.9784,0.0
10,2026-05-28T03:26:43.367417,frontend,48.22,5.1785,0.0
10,2026-05-28T03:26:43.367417,productcatalogservice,2.17,26.0029,0.0
10,2026-05-28T03:26:43.367417,checkoutservice,462.5,0.1334,0.0
10,2026-05-28T03:26:43.367417,cartservice,4.78,4.6896,0.0
10,2026-05-28T03:26:43.367417,recommendationservice,4.83,3.3116,0.0
11,2026-05-28T03:27:13.417992,frontend,49.69,5.6675,0.0
11,2026-05-28T03:27:13.417992,productcatalogservice,3.31,28.8251,0.0
11,2026-05-28T03:27:13.417992,checkoutservice,242.5,0.2223,0.0
11,2026-05-28T03:27:13.417992,cartservice,4.84,5.1341,0.0
11,2026-05-28T03:27:13.417992,recommendationservice,4.92,3.6895,0.0
12,2026-05-28T03:27:43.505653,frontend,80.0,5.6674,0.0
12,2026-05-28T03:27:43.505653,productcatalogservice,3.59,32.2703,0.0
12,2026-05-28T03:27:43.505653,checkoutservice,475.0,0.2667,0.0
12,2026-05-28T03:27:43.505653,cartservice,4.86,5.6452,0.0
12,2026-05-28T03:27:43.505653,recommendationservice,6.77,4.0228,0.0
13,2026-05-28T03:28:13.561020,frontend,48.65,5.4228,0.0
13,2026-05-28T03:28:13.561020,productcatalogservice,3.08,29.8247,0.0
13,2026-05-28T03:28:13.561020,checkoutservice,3999.96,0.2,0.0
13,2026-05-28T03:28:13.561020,cartservice,4.79,5.2673,0.0
13,2026-05-28T03:28:13.561020,recommendationservice,5.22,3.8226,0.0
14,2026-05-28T03:28:43.609099,frontend,68.75,4.9115,0.0
14,2026-05-28T03:28:43.609099,productcatalogservice,3.38,27.0681,0.0
14,2026-05-28T03:28:43.609099,checkoutservice,4625.0,0.1333,0.0
14,2026-05-28T03:28:43.609099,cartservice,4.79,4.5115,0.0
14,2026-05-28T03:28:43.609099,recommendationservice,6.12,3.667,0.0
15,2026-05-28T03:29:13.659383,frontend,70.94,4.6894,0.0
15,2026-05-28T03:29:13.659383,productcatalogservice,3.46,25.6471,0.0
15,2026-05-28T03:29:13.659383,checkoutservice,487.5,0.0889,0.0
15,2026-05-28T03:29:13.659383,cartservice,4.79,4.445,0.0
15,2026-05-28T03:29:13.659383,recommendationservice,4.95,3.4449,0.0
16,2026-05-28T03:29:43.709566,frontend,90.62,5.4006,0.0
16,2026-05-28T03:29:43.709566,productcatalogservice,3.35,31.7356,0.0
16,2026-05-28T03:29:43.709566,checkoutservice,475.0,0.1778,0.0
16,2026-05-28T03:29:43.709566,cartservice,4.82,5.1117,0.0
16,2026-05-28T03:29:43.709566,recommendationservice,7.07,4.1782,0.0
17,2026-05-28T03:30:13.752415,frontend,149.09,5.4673,0.0
17,2026-05-28T03:30:13.752415,productcatalogservice,2.9,30.5359,0.0
17,2026-05-28T03:30:13.752415,checkoutservice,470.0,0.2667,0.0
17,2026-05-28T03:30:13.752415,cartservice,4.79,5.5561,0.0
17,2026-05-28T03:30:13.752415,recommendationservice,4.97,4.0893,0.0
18,2026-05-28T03:30:43.794543,frontend,93.5,4.8449,0.0
18,2026-05-28T03:30:43.794543,productcatalogservice,2.71,27.2239,0.0
18,2026-05-28T03:30:43.794543,checkoutservice,912.5,0.1556,0.0
18,2026-05-28T03:30:43.794543,cartservice,4.79,4.5782,0.0
