cycle,timestamp,phase,service,p95_ms,throughput_rps,cpu_cores,replicas
13,2026-05-26T01:27:26.100764,BASELINE,frontend,2485.58,3.9939,0.0,5
13,2026-05-26T01:27:26.100764,BASELINE,productcatalogservice,151.76,23.0868,0.0,1
13,2026-05-26T01:27:26.100764,BASELINE,checkoutservice,2124.58,0.2228,0.0,4
13,2026-05-26T01:27:26.100764,BASELINE,cartservice,177.61,4.0607,0.0,1
13,2026-05-26T01:27:26.100764,BASELINE,recommendationservice,429.92,2.9631,0.0,1
14,2026-05-26T01:28:14.096955,BASELINE,frontend,4197.54,4.3324,0.0,5
14,2026-05-26T01:28:14.096955,BASELINE,productcatalogservice,117.97,23.7869,0.0,1
14,2026-05-26T01:28:14.096955,BASELINE,checkoutservice,2312.49,0.1334,0.0,4
14,2026-05-26T01:28:14.096955,BASELINE,cartservice,175.16,4.2035,0.0,1
14,2026-05-26T01:28:14.096955,BASELINE,recommendationservice,365.51,3.2228,0.0,1
15,2026-05-26T01:29:02.273914,BASELINE,frontend,3934.62,3.8819,0.0,5
15,2026-05-26T01:29:02.273914,BASELINE,productcatalogservice,169.65,21.9727,0.0,1
15,2026-05-26T01:29:02.273914,BASELINE,checkoutservice,2349.9,0.0889,0.0,4
15,2026-05-26T01:29:02.273914,BASELINE,cartservice,230.16,3.8854,0.0,1
15,2026-05-26T01:29:02.273914,BASELINE,recommendationservice,599.96,2.8897,0.0,1
16,2026-05-26T01:29:52.572747,BASELINE,frontend,2279.94,4.4768,0.0,5
16,2026-05-26T01:29:52.572747,BASELINE,productcatalogservice,95.39,23.4716,0.0,1
16,2026-05-26T01:29:52.572747,BASELINE,checkoutservice,968.74,0.111,0.0,4
16,2026-05-26T01:29:52.572747,BASELINE,cartservice,205.77,4.2222,0.0,1
16,2026-05-26T01:29:52.572747,BASELINE,recommendationservice,751.8,3.2896,0.0,1
17,2026-05-26T01:30:43.677176,BASELINE,frontend,3176.8,4.4711,0.0,5
17,2026-05-26T01:30:43.677176,BASELINE,productcatalogservice,139.67,25.5931,0.0,1
17,2026-05-26T01:30:43.677176,BASELINE,checkoutservice,956.23,0.3111,0.0,4
17,2026-05-26T01:30:43.677176,BASELINE,cartservice,192.45,4.4497,0.0,1
17,2026-05-26T01:30:43.677176,BASELINE,recommendationservice,274.81,3.2448,0.0,1
18,2026-05-26T01:31:29.379021,BASELINE,frontend,2205.19,3.7368,0.0,5
18,2026-05-26T01:31:29.379021,BASELINE,productcatalogservice,90.63,19.0608,0.0,1
18,2026-05-26T01:31:29.379021,BASELINE,checkoutservice,2349.75,0.1113,0.0,4
18,2026-05-26T01:31:29.379021,BASELINE,cartservice,234.49,3.7287,0.0,1
18,2026-05-26T01:31:29.379021,BASELINE,recommendationservice,414.51,2.7584,0.0,1
19,2026-05-26T01:32:19.629435,BASELINE,frontend,2307.16,4.0679,0.0,5
19,2026-05-26T01:32:19.629435,BASELINE,productcatalogservice,93.72,20.9859,0.0,1
19,2026-05-26T01:32:19.629435,BASELINE,checkoutservice,975.0,0.0,0.0,4
19,2026-05-26T01:32:19.629435,BASELINE,cartservice,218.23,3.6686,0.0,1
19,2026-05-26T01:32:19.629435,BASELINE,recommendationservice,320.84,2.7342,0.0,1
20,2026-05-26T01:33:11.831310,BASELINE,frontend,3555.55,4.9349,0.0,5
20,2026-05-26T01:33:11.831310,BASELINE,productcatalogservice,176.95,27.4165,0.0,1
20,2026-05-26T01:33:11.831310,BASELINE,checkoutservice,2337.5,0.3336,0.0,4
20,2026-05-26T01:33:11.831310,BASELINE,cartservice,219.08,5.1373,0.0,1
20,2026-05-26T01:33:11.831310,BASELINE,recommendationservice,690.34,3.5581,0.0,1
21,2026-05-26T01:34:03.304887,BASELINE,frontend,2611.29,3.7342,0.0,5
21,2026-05-26T01:34:03.304887,BASELINE,productcatalogservice,155.38,20.406,0.0,1
21,2026-05-26T01:34:03.304887,BASELINE,checkoutservice,487.5,0.0444,0.0,4
21,2026-05-26T01:34:03.304887,BASELINE,cartservice,238.13,3.4719,0.0,1
21,2026-05-26T01:34:03.304887,BASELINE,recommendationservice,947.26,2.6895,0.0,1
22,2026-05-26T01:34:51.665808,BASELINE,frontend,2267.31,4.0469,0.0,5
22,2026-05-26T01:34:51.665808,BASELINE,productcatalogservice,91.25,22.6756,0.0,1
22,2026-05-26T01:34:51.665808,BASELINE,checkoutservice,341.78,0.0444,0.0,4
22,2026-05-26T01:34:51.665808,BASELINE,cartservice,179.16,3.7131,0.0,1
22,2026-05-26T01:34:51.665808,BASELINE,recommendationservice,246.58,3.023,0.0,1
23,2026-05-26T01:35:43.217974,BASELINE,frontend,3229.53,3.7808,0.0,5
23,2026-05-26T01:35:43.217974,BASELINE,productcatalogservice,120.64,21.1203,0.0,1
23,2026-05-26T01:35:43.217974,BASELINE,checkoutservice,2375.05,0.1114,0.0,4
23,2026-05-26T01:35:43.217974,BASELINE,cartservice,195.29,3.7744,0.0,1
23,2026-05-26T01:35:43.217974,BASELINE,recommendationservice,434.8,2.8908,0.0,1
24,2026-05-26T01:36:26.397498,BASELINE,frontend,1736.36,4.8456,0.0,5
24,2026-05-26T01:36:26.397498,BASELINE,productcatalogservice,39.43,28.3312,0.0,1
24,2026-05-26T01:36:26.397498,BASELINE,checkoutservice,487.5,0.1334,0.0,4
24,2026-05-26T01:36:26.397498,BASELINE,cartservice,72.49,4.6751,0.0,1
24,2026-05-26T01:36:26.397498,BASELINE,recommendationservice,208.0,3.6232,0.0,1
25,2026-05-26T01:37:09.695915,BASELINE,frontend,1859.6,4.4232,0.0,5
25,2026-05-26T01:37:09.695915,BASELINE,productcatalogservice,73.79,25.0046,0.0,1
25,2026-05-26T01:37:09.695915,BASELINE,checkoutservice,487.5,0.0889,0.0,5
25,2026-05-26T01:37:09.695915,BASELINE,cartservice,131.37,4.4231,0.0,1
25,2026-05-26T01:37:09.695915,BASELINE,recommendationservice,246.25,3.0899,0.0,1
26,2026-05-26T01:37:51.954275,BASELINE,frontend,3981.25,4.6349,0.0,5
26,2026-05-26T01:37:51.954275,BASELINE,productcatalogservice,96.75,26.6955,0.0,1
26,2026-05-26T01:37:51.954275,BASELINE,checkoutservice,4499.91,0.1555,0.0,5
26,2026-05-26T01:37:51.954275,BASELINE,cartservice,209.47,4.5344,0.0,1
26,2026-05-26T01:37:51.954275,BASELINE,recommendationservice,683.29,3.512,0.0,1
27,2026-05-26T01:38:38.276975,BASELINE,frontend,2057.03,4.046,0.0,5
27,2026-05-26T01:38:38.276975,BASELINE,productcatalogservice,85.84,24.6094,0.0,1
27,2026-05-26T01:38:38.276975,BASELINE,checkoutservice,2199.69,0.1112,0.0,5
27,2026-05-26T01:38:38.276975,BASELINE,cartservice,98.43,4.0017,0.0,1
27,2026-05-26T01:38:38.276975,BASELINE,recommendationservice,256.72,3.2091,0.0,1
28,2026-05-26T01:39:24.476759,BASELINE,frontend,2155.0,4.1118,0.0,5
28,2026-05-26T01:39:24.476759,BASELINE,productcatalogservice,89.8,22.6986,0.0,1
28,2026-05-26T01:39:24.476759,BASELINE,checkoutservice,937.48,0.0444,0.0,5
28,2026-05-26T01:39:24.476759,BASELINE,cartservice,95.07,3.7579,0.0,1
28,2026-05-26T01:39:24.476759,BASELINE,recommendationservice,435.84,3.0042,0.0,1
