cycle,timestamp,service,p95_ms,throughput_rps,cpu_cores
1,2026-05-27T21:09:45.382772,frontend,92.7,4.7116,0.0
1,2026-05-27T21:09:45.382772,productcatalogservice,4.49,3.0002,0.0
1,2026-05-27T21:09:45.382772,checkoutservice,97.5,0.0444,0.0
1,2026-05-27T21:09:45.382772,cartservice,4.8,0.5334,0.0
1,2026-05-27T21:09:45.382772,recommendationservice,nan,0.0,0.0
2,2026-05-27T21:10:15.471286,frontend,90.74,5.3116,0.0
2,2026-05-27T21:10:15.471286,productcatalogservice,4.57,3.1113,0.0
2,2026-05-27T21:10:15.471286,checkoutservice,97.5,0.0667,0.0
2,2026-05-27T21:10:15.471286,cartservice,7.94,0.8223,0.0
2,2026-05-27T21:10:15.471286,recommendationservice,nan,0.0,0.0
3,2026-05-27T21:10:45.521030,frontend,90.8,5.7784,0.0
3,2026-05-27T21:10:45.521030,productcatalogservice,4.49,3.3114,0.0
3,2026-05-27T21:10:45.521030,checkoutservice,95.62,0.1778,0.0
3,2026-05-27T21:10:45.521030,cartservice,4.9,0.9334,0.0
3,2026-05-27T21:10:45.521030,recommendationservice,nan,0.0,0.0
4,2026-05-27T21:11:15.590727,frontend,93.07,5.8229,0.0
4,2026-05-27T21:11:15.590727,productcatalogservice,4.52,3.4668,0.0
4,2026-05-27T21:11:15.590727,checkoutservice,94.5,0.2222,0.0
4,2026-05-27T21:11:15.590727,cartservice,4.89,0.9334,0.0
4,2026-05-27T21:11:15.590727,recommendationservice,nan,0.0,0.0
5,2026-05-27T21:11:45.669414,frontend,92.3,5.2007,0.0
5,2026-05-27T21:11:45.669414,productcatalogservice,4.49,3.0893,0.0
5,2026-05-27T21:11:45.669414,checkoutservice,90.83,0.2223,0.0
5,2026-05-27T21:11:45.669414,cartservice,4.8,0.6223,0.0
5,2026-05-27T21:11:45.669414,recommendationservice,nan,0.0,0.0
6,2026-05-27T21:12:15.744690,frontend,92.29,5.5336,0.0
6,2026-05-27T21:12:15.744690,productcatalogservice,4.46,3.1556,0.0
6,2026-05-27T21:12:15.744690,checkoutservice,93.12,0.2222,0.0
6,2026-05-27T21:12:15.744690,cartservice,4.8,0.7778,0.0
6,2026-05-27T21:12:15.744690,recommendationservice,nan,0.0,0.0
