cycle,timestamp,phase,service,p95_ms,throughput_rps,cpu_cores,replicas
1,2026-05-29T04:11:13.798594,BASELINE,frontend,46.13,5.556,0.0,1
1,2026-05-29T04:11:13.798594,BASELINE,productcatalogservice,2.34,31.9579,0.0,1
1,2026-05-29T04:11:13.798594,BASELINE,checkoutservice,24.25,0.2667,0.0,1
1,2026-05-29T04:11:13.798594,BASELINE,cartservice,4.8,5.4006,0.0,1
1,2026-05-29T04:11:13.798594,BASELINE,recommendationservice,4.93,4.0448,0.0,1
2,2026-05-29T04:11:44.974568,BASELINE,frontend,47.59,5.5116,0.0,1
2,2026-05-29T04:11:44.974568,BASELINE,productcatalogservice,3.55,29.0463,0.0,1
2,2026-05-29T04:11:44.974568,BASELINE,checkoutservice,24.25,0.1556,0.0,1
2,2026-05-29T04:11:44.974568,BASELINE,cartservice,4.81,5.4673,0.0,1
2,2026-05-29T04:11:44.974568,BASELINE,recommendationservice,6.93,3.8225,0.0,1
3,2026-05-29T04:12:16.242746,BASELINE,frontend,49.82,5.6898,0.0,1
3,2026-05-29T04:12:16.242746,BASELINE,productcatalogservice,3.88,27.4042,0.0,1
3,2026-05-29T04:12:16.242746,BASELINE,checkoutservice,46.25,0.1334,0.0,1
3,2026-05-29T04:12:16.242746,BASELINE,cartservice,4.81,5.4676,0.0,1
3,2026-05-29T04:12:16.242746,BASELINE,recommendationservice,6.32,3.645,0.0,1
4,2026-05-29T04:12:47.366471,BASELINE,frontend,48.82,5.267,0.0,1
4,2026-05-29T04:12:47.366471,BASELINE,productcatalogservice,2.94,29.3124,0.0,1
4,2026-05-29T04:12:47.366471,BASELINE,checkoutservice,47.5,0.0889,0.0,1
4,2026-05-29T04:12:47.366471,BASELINE,cartservice,4.81,4.8891,0.0,1
4,2026-05-29T04:12:47.366471,BASELINE,recommendationservice,4.89,3.711,0.0,1
5,2026-05-29T04:13:18.518014,BASELINE,frontend,47.98,5.2891,0.0,1
5,2026-05-29T04:13:18.518014,BASELINE,productcatalogservice,2.85,25.912,0.0,1
5,2026-05-29T04:13:18.518014,BASELINE,checkoutservice,48.75,0.0889,0.0,1
5,2026-05-29T04:13:18.518014,BASELINE,cartservice,4.79,4.7113,0.0,1
5,2026-05-29T04:13:18.518014,BASELINE,recommendationservice,4.9,3.4001,0.0,1
6,2026-05-29T04:13:49.581445,BASELINE,frontend,49.56,5.6669,0.0,1
6,2026-05-29T04:13:49.581445,BASELINE,productcatalogservice,2.8,32.8287,0.0,1
6,2026-05-29T04:13:49.581445,BASELINE,checkoutservice,208.75,0.2667,0.0,1
6,2026-05-29T04:13:49.581445,BASELINE,cartservice,4.82,5.8671,0.0,1
6,2026-05-29T04:13:49.581445,BASELINE,recommendationservice,5.84,4.0003,0.0,1
7,2026-05-29T04:14:20.678501,BASELINE,frontend,49.54,5.6448,0.0,1
7,2026-05-29T04:14:20.678501,BASELINE,productcatalogservice,3.19,33.024,0.0,1
7,2026-05-29T04:14:20.678501,BASELINE,checkoutservice,201.25,0.3556,0.0,1
7,2026-05-29T04:14:20.678501,BASELINE,cartservice,4.85,6.0892,0.0,1
7,2026-05-29T04:14:20.678501,BASELINE,recommendationservice,5.93,4.378,0.0,1
8,2026-05-29T04:14:51.764946,BASELINE,frontend,57.0,6.6226,0.0,1
8,2026-05-29T04:14:51.764946,BASELINE,productcatalogservice,3.31,37.9352,0.0,1
8,2026-05-29T04:14:51.764946,BASELINE,checkoutservice,24.9,0.6,0.0,1
8,2026-05-29T04:14:51.764946,BASELINE,cartservice,4.82,7.1337,0.0,1
8,2026-05-29T04:14:51.764946,BASELINE,recommendationservice,4.96,5.0448,0.0,1
9,2026-05-29T04:15:22.815108,BASELINE,frontend,48.28,6.1339,0.0,1
9,2026-05-29T04:15:22.815108,BASELINE,productcatalogservice,2.38,34.3801,0.0,1
9,2026-05-29T04:15:22.815108,BASELINE,checkoutservice,27.5,0.3334,0.0,1
9,2026-05-29T04:15:22.815108,BASELINE,cartservice,4.78,6.0003,0.0,1
9,2026-05-29T04:15:22.815108,BASELINE,recommendationservice,4.9,4.1781,0.0,1
10,2026-05-29T04:15:53.849900,BASELINE,frontend,67.5,4.6448,0.0,1
10,2026-05-29T04:15:53.849900,BASELINE,productcatalogservice,3.43,23.3127,0.0,1
10,2026-05-29T04:15:53.849900,BASELINE,checkoutservice,24.25,0.0889,0.0,1
10,2026-05-29T04:15:53.849900,BASELINE,cartservice,4.83,4.378,0.0,1
10,2026-05-29T04:15:53.849900,BASELINE,recommendationservice,4.99,3.178,0.0,1
11,2026-05-29T04:16:24.861962,BASELINE,frontend,63.75,5.9782,0.0,1
11,2026-05-29T04:16:24.861962,BASELINE,productcatalogservice,2.98,32.0678,0.0,1
11,2026-05-29T04:16:24.861962,BASELINE,checkoutservice,24.21,0.4,0.0,1
11,2026-05-29T04:16:24.861962,BASELINE,cartservice,4.78,5.9114,0.0,1
11,2026-05-29T04:16:24.861962,BASELINE,recommendationservice,4.84,4.3336,0.0,1
12,2026-05-29T04:16:55.915588,BASELINE,frontend,72.5,5.3337,0.0,1
12,2026-05-29T04:16:55.915588,BASELINE,productcatalogservice,3.18,29.0018,0.0,1
12,2026-05-29T04:16:55.915588,BASELINE,checkoutservice,24.2,0.2222,0.0,1
12,2026-05-29T04:16:55.915588,BASELINE,cartservice,4.81,5.1336,0.0,1
12,2026-05-29T04:16:55.915588,BASELINE,recommendationservice,6.48,3.5781,0.0,1
13,2026-05-29T04:17:26.953062,BASELINE,frontend,50.56,4.867,0.0,1
13,2026-05-29T04:17:26.953062,BASELINE,productcatalogservice,3.17,26.0679,0.0,1
13,2026-05-29T04:17:26.953062,BASELINE,checkoutservice,24.25,0.2,0.0,1
13,2026-05-29T04:17:26.953062,BASELINE,cartservice,4.78,4.9336,0.0,1
13,2026-05-29T04:17:26.953062,BASELINE,recommendationservice,4.9,3.4669,0.0,1
