cycle,timestamp,service,p95_ms,throughput_rps,cpu_cores
1,2026-05-28T02:46:20.171619,frontend,48.8,5.5335,0.0
1,2026-05-28T02:46:20.171619,productcatalogservice,3.61,30.624,0.0
1,2026-05-28T02:46:20.171619,checkoutservice,24.25,0.3111,0.0
1,2026-05-28T02:46:20.171619,cartservice,4.87,5.6372,0.0
1,2026-05-28T02:46:20.171619,recommendationservice,7.91,3.9336,0.0
2,2026-05-28T02:46:50.265754,frontend,47.9,5.2002,0.0
2,2026-05-28T02:46:50.265754,productcatalogservice,3.27,28.4682,0.0
2,2026-05-28T02:46:50.265754,checkoutservice,45.0,0.1556,0.0
2,2026-05-28T02:46:50.265754,cartservice,4.83,4.689,0.0
2,2026-05-28T02:46:50.265754,recommendationservice,7.27,3.8668,0.0
3,2026-05-28T02:47:20.333529,frontend,61.25,5.7114,0.0
3,2026-05-28T02:47:20.333529,productcatalogservice,3.56,30.1124,0.0
3,2026-05-28T02:47:20.333529,checkoutservice,47.5,0.0889,0.0
3,2026-05-28T02:47:20.333529,cartservice,4.91,5.2003,0.0
3,2026-05-28T02:47:20.333529,recommendationservice,7.4,3.9113,0.0
4,2026-05-28T02:47:50.417133,frontend,48.4,5.7336,0.0
4,2026-05-28T02:47:50.417133,productcatalogservice,3.83,31.5347,0.0
4,2026-05-28T02:47:50.417133,checkoutservice,24.25,0.0889,0.0
4,2026-05-28T02:47:50.417133,cartservice,4.87,5.4225,0.0
4,2026-05-28T02:47:50.417133,recommendationservice,8.4,4.0891,0.0
5,2026-05-28T02:48:20.517763,frontend,51.25,5.2005,0.0
5,2026-05-28T02:48:20.517763,productcatalogservice,3.55,30.6027,0.0
5,2026-05-28T02:48:20.517763,checkoutservice,24.25,0.1778,0.0
5,2026-05-28T02:48:20.517763,cartservice,4.86,5.045,0.0
5,2026-05-28T02:48:20.517763,recommendationservice,7.92,3.8448,0.0
6,2026-05-28T02:48:50.637086,frontend,67.5,4.3778,0.0
6,2026-05-28T02:48:50.637086,productcatalogservice,3.53,25.4448,0.0
6,2026-05-28T02:48:50.637086,checkoutservice,24.25,0.2222,0.0
6,2026-05-28T02:48:50.637086,cartservice,4.87,4.3778,0.0
6,2026-05-28T02:48:50.637086,recommendationservice,7.15,3.5334,0.0
7,2026-05-28T02:49:20.727762,frontend,47.36,5.7114,0.0
7,2026-05-28T02:49:20.727762,productcatalogservice,3.27,28.1127,0.0
7,2026-05-28T02:49:20.727762,checkoutservice,24.25,0.2222,0.0
7,2026-05-28T02:49:20.727762,cartservice,4.79,5.467,0.0
7,2026-05-28T02:49:20.727762,recommendationservice,4.96,3.9557,0.0
8,2026-05-28T02:49:50.822456,frontend,53.75,6.867,0.0
8,2026-05-28T02:49:50.822456,productcatalogservice,3.93,36.2905,0.0
8,2026-05-28T02:49:50.822456,checkoutservice,47.34,0.4,0.0
8,2026-05-28T02:49:50.822456,cartservice,4.88,6.8225,0.0
8,2026-05-28T02:49:50.822456,recommendationservice,9.35,4.8224,0.0
9,2026-05-28T02:50:20.893512,frontend,49.49,5.8448,0.0
9,2026-05-28T02:50:20.893512,productcatalogservice,3.51,32.224,0.0
9,2026-05-28T02:50:20.893512,checkoutservice,45.0,0.3556,0.0
