cycle,timestamp,phase,service,from_replicas,to_replicas,direction
45,2026-05-29T01:52:19.145974,FAULT_INJECTION,frontend,1,4,SCALE_UP
45,2026-05-29T01:52:19.145974,FAULT_INJECTION,recommendationservice,1,4,SCALE_UP
39,2026-05-29T01:52:28.859856,BASELINE,frontend,1,5,SCALE_UP
39,2026-05-29T01:52:28.859856,BASELINE,recommendationservice,1,5,SCALE_UP
2,2026-05-29T01:52:32.417296,BASELINE,frontend,1,5,SCALE_UP
2,2026-05-29T01:52:32.417296,BASELINE,recommendationservice,1,5,SCALE_UP
46,2026-05-29T01:52:50.238007,FAULT_INJECTION,frontend,4,5,SCALE_UP
46,2026-05-29T01:52:50.238007,FAULT_INJECTION,recommendationservice,4,5,SCALE_UP
57,2026-05-29T02:01:18.604456,FAULT_INJECTION,productcatalogservice,1,5,SCALE_UP
57,2026-05-29T02:01:18.604456,FAULT_INJECTION,checkoutservice,1,5,SCALE_UP
19,2026-05-29T02:01:21.115687,BASELINE,productcatalogservice,1,5,SCALE_UP
19,2026-05-29T02:01:21.115687,BASELINE,checkoutservice,1,5,SCALE_UP
64,2026-05-29T02:01:40.192255,RECOVERY,productcatalogservice,1,5,SCALE_UP
64,2026-05-29T02:01:40.192255,RECOVERY,checkoutservice,1,5,SCALE_UP
33,2026-05-29T02:08:37.837481,BASELINE,frontend,5,1,SCALE_DOWN
33,2026-05-29T02:08:37.837481,BASELINE,productcatalogservice,5,1,SCALE_DOWN
33,2026-05-29T02:08:37.837481,BASELINE,checkoutservice,5,1,SCALE_DOWN
33,2026-05-29T02:08:37.837481,BASELINE,recommendationservice,5,1,SCALE_DOWN
49,2026-05-29T02:16:25.975675,FAULT_INJECTION,frontend,1,5,SCALE_UP
49,2026-05-29T02:16:25.975675,FAULT_INJECTION,productcatalogservice,1,5,SCALE_UP
49,2026-05-29T02:16:25.975675,FAULT_INJECTION,checkoutservice,1,5,SCALE_UP
49,2026-05-29T02:16:25.975675,FAULT_INJECTION,recommendationservice,1,5,SCALE_UP
