cycle,timestamp,phase,service,p95_ms,throughput_rps,cpu_cores,replicas
1,2026-05-29T01:52:01.168293,BASELINE,frontend,49.33,5.4892,0.0,1
1,2026-05-29T01:52:01.168293,BASELINE,productcatalogservice,3.34,31.024,0.0,1
1,2026-05-29T01:52:01.168293,BASELINE,checkoutservice,24.25,0.0889,0.0,1
1,2026-05-29T01:52:01.168293,BASELINE,cartservice,4.84,5.2893,0.0,1
1,2026-05-29T01:52:01.168293,BASELINE,recommendationservice,6.77,3.9781,0.0,1
45,2026-05-29T01:52:19.145974,FAULT_INJECTION,frontend,78.75,5.0447,0.0,4
45,2026-05-29T01:52:19.145974,FAULT_INJECTION,productcatalogservice,3.39,29.0021,0.0,1
45,2026-05-29T01:52:19.145974,FAULT_INJECTION,checkoutservice,24.25,0.1333,0.0,1
45,2026-05-29T01:52:19.145974,FAULT_INJECTION,cartservice,4.83,4.9335,0.0,1
45,2026-05-29T01:52:19.145974,FAULT_INJECTION,recommendationservice,6.83,3.8,0.0,4
39,2026-05-29T01:52:28.859856,BASELINE,frontend,79.38,4.9114,0.0,4
39,2026-05-29T01:52:28.859856,BASELINE,productcatalogservice,3.64,27.2016,0.0,1
39,2026-05-29T01:52:28.859856,BASELINE,checkoutservice,47.5,0.0889,0.0,1
39,2026-05-29T01:52:28.859856,BASELINE,cartservice,4.82,4.5116,0.0,1
39,2026-05-29T01:52:28.859856,BASELINE,recommendationservice,7.22,3.6668,0.0,5
2,2026-05-29T01:52:32.417296,BASELINE,frontend,80.28,4.5115,0.0,5
2,2026-05-29T01:52:32.417296,BASELINE,productcatalogservice,3.65,26.8684,0.0,1
2,2026-05-29T01:52:32.417296,BASELINE,checkoutservice,47.5,0.0889,0.0,1
2,2026-05-29T01:52:32.417296,BASELINE,cartservice,4.82,4.5116,0.0,1
2,2026-05-29T01:52:32.417296,BASELINE,recommendationservice,7.32,3.3336,0.0,5
46,2026-05-29T01:52:50.238007,FAULT_INJECTION,frontend,6458.33,3.6002,0.0,5
46,2026-05-29T01:52:50.238007,FAULT_INJECTION,productcatalogservice,3.79,20.933,0.0,1
46,2026-05-29T01:52:50.238007,FAULT_INJECTION,checkoutservice,47.5,0.0889,0.0,1
46,2026-05-29T01:52:50.238007,FAULT_INJECTION,cartservice,4.82,3.6353,0.0,1
46,2026-05-29T01:52:50.238007,FAULT_INJECTION,recommendationservice,9.47,2.4223,0.0,5
40,2026-05-29T01:52:59.987071,BASELINE,frontend,6875.6,3.3881,0.0,5
40,2026-05-29T01:52:59.987071,BASELINE,productcatalogservice,3.87,20.5384,0.0,1
40,2026-05-29T01:52:59.987071,BASELINE,checkoutservice,47.5,0.0667,0.0,1
40,2026-05-29T01:52:59.987071,BASELINE,cartservice,4.83,3.5793,0.0,1
40,2026-05-29T01:52:59.987071,BASELINE,recommendationservice,4762.59,2.5078,0.0,5
41,2026-05-29T01:53:01.152857,FAULT_INJECTION,frontend,6853.74,3.4024,0.0,5
41,2026-05-29T01:53:01.152857,FAULT_INJECTION,productcatalogservice,3.81,20.1006,0.0,1
41,2026-05-29T01:53:01.152857,FAULT_INJECTION,checkoutservice,47.5,0.0667,0.0,1
41,2026-05-29T01:53:01.152857,FAULT_INJECTION,cartservice,4.83,3.6024,0.0,1
41,2026-05-29T01:53:01.152857,FAULT_INJECTION,recommendationservice,6627.07,1.9566,0.0,5
3,2026-05-29T01:53:03.520913,BASELINE,frontend,7289.04,3.7085,0.0,5
3,2026-05-29T01:53:03.520913,BASELINE,productcatalogservice,3.91,21.4579,0.0,1
3,2026-05-29T01:53:03.520913,BASELINE,checkoutservice,47.5,0.0667,0.0,1
3,2026-05-29T01:53:03.520913,BASELINE,cartservice,4.83,3.8243,0.0,1
3,2026-05-29T01:53:03.520913,BASELINE,recommendationservice,6654.48,2.3595,0.0,5
47,2026-05-29T01:53:21.307854,FAULT_INJECTION,frontend,8746.02,2.7049,0.0,5
47,2026-05-29T01:53:21.307854,FAULT_INJECTION,productcatalogservice,3.85,16.4272,0.0,1
47,2026-05-29T01:53:21.307854,FAULT_INJECTION,checkoutservice,24.25,0.0222,0.0,1
47,2026-05-29T01:53:21.307854,FAULT_INJECTION,cartservice,4.85,3.0644,0.0,1
47,2026-05-29T01:53:21.307854,FAULT_INJECTION,recommendationservice,8506.37,2.1622,0.0,5
42,2026-05-29T01:53:32.324803,FAULT_INJECTION,frontend,20715.18,2.2932,0.0,5
42,2026-05-29T01:53:32.324803,FAULT_INJECTION,productcatalogservice,2102.11,15.7768,0.0,1
42,2026-05-29T01:53:32.324803,FAULT_INJECTION,checkoutservice,24.25,0.0222,0.0,1
42,2026-05-29T01:53:32.324803,FAULT_INJECTION,cartservice,4.82,2.5504,0.0,1
42,2026-05-29T01:53:32.324803,FAULT_INJECTION,recommendationservice,6364.58,1.8263,0.0,5
4,2026-05-29T01:53:34.579062,BASELINE,frontend,23041.0,2.2623,0.0,5
4,2026-05-29T01:53:34.579062,BASELINE,productcatalogservice,3401.61,15.0438,0.0,1
4,2026-05-29T01:53:34.579062,BASELINE,checkoutservice,24.25,0.0222,0.0,1
4,2026-05-29T01:53:34.579062,BASELINE,cartservice,4.81,2.4707,0.0,1
4,2026-05-29T01:53:34.579062,BASELINE,recommendationservice,6129.17,1.8051,0.0,5
48,2026-05-29T01:53:52.379987,FAULT_INJECTION,frontend,28038.87,0.8889,0.0,5
48,2026-05-29T01:53:52.379987,FAULT_INJECTION,productcatalogservice,4545.9,5.7647,0.0,1
48,2026-05-29T01:53:52.379987,FAULT_INJECTION,checkoutservice,24.25,0.0,0.0,1
48,2026-05-29T01:53:52.379987,FAULT_INJECTION,cartservice,4.8,1.1779,0.0,1
