cycle,timestamp,service,p95_ms,throughput_rps,cpu_cores
1,2026-05-27T14:35:54.598836,frontend,4760.54,3.6447,0.0
1,2026-05-27T14:35:54.598836,productcatalogservice,4654.42,2.1112,0.0
1,2026-05-27T14:35:54.598836,checkoutservice,4781.25,0.1333,0.0
1,2026-05-27T14:35:54.598836,cartservice,4.8,0.3334,0.0
1,2026-05-27T14:35:54.598836,recommendationservice,nan,0.0,0.0
2,2026-05-27T14:36:24.772359,frontend,3406.25,4.6224,0.0
2,2026-05-27T14:36:24.772359,productcatalogservice,2839.29,2.7557,0.0
2,2026-05-27T14:36:24.772359,checkoutservice,97.5,0.0444,0.0
2,2026-05-27T14:36:24.772359,cartservice,4.8,0.4223,0.0
2,2026-05-27T14:36:24.772359,recommendationservice,nan,0.0,0.0
3,2026-05-27T14:36:54.920250,frontend,92.76,4.1781,0.0
3,2026-05-27T14:36:54.920250,productcatalogservice,4.66,2.5113,0.0
3,2026-05-27T14:36:54.920250,checkoutservice,97.5,0.0889,0.0
3,2026-05-27T14:36:54.920250,cartservice,5.5,0.3556,0.0
3,2026-05-27T14:36:54.920250,recommendationservice,nan,0.0,0.0
4,2026-05-27T14:37:25.024431,frontend,92.68,4.6002,0.0
4,2026-05-27T14:37:25.024431,productcatalogservice,4.68,3.0002,0.0
4,2026-05-27T14:37:25.024431,checkoutservice,92.5,0.1333,0.0
4,2026-05-27T14:37:25.024431,cartservice,4.95,0.5778,0.0
4,2026-05-27T14:37:25.024431,recommendationservice,nan,0.0,0.0
5,2026-05-27T14:37:55.070758,frontend,92.84,4.978,0.0
5,2026-05-27T14:37:55.070758,productcatalogservice,4.66,3.6446,0.0
5,2026-05-27T14:37:55.070758,checkoutservice,94.17,0.3111,0.0
5,2026-05-27T14:37:55.070758,cartservice,4.8,0.8889,0.0
5,2026-05-27T14:37:55.070758,recommendationservice,nan,0.0,0.0
6,2026-05-27T14:38:25.142427,frontend,92.07,5.2238,0.0
6,2026-05-27T14:38:25.142427,productcatalogservice,4.66,2.8231,0.0
6,2026-05-27T14:38:25.142427,checkoutservice,95.83,0.2223,0.0
6,2026-05-27T14:38:25.142427,cartservice,4.8,0.7113,0.0
6,2026-05-27T14:38:25.142427,recommendationservice,nan,0.0,0.0
7,2026-05-27T14:38:55.195874,frontend,92.44,5.844,0.0
7,2026-05-27T14:38:55.195874,productcatalogservice,4.67,3.2002,0.0
7,2026-05-27T14:38:55.195874,checkoutservice,95.83,0.2222,0.0
7,2026-05-27T14:38:55.195874,cartservice,4.8,0.8445,0.0
7,2026-05-27T14:38:55.195874,recommendationservice,nan,0.0,0.0
