cycle,timestamp,service,p95_ms,throughput_rps,cpu_cores
1,2026-05-27T22:57:40.298224,frontend,104.62,5.5115,0.0
1,2026-05-27T22:57:40.298224,productcatalogservice,3.08,30.211,0.0
1,2026-05-27T22:57:40.298224,checkoutservice,24.25,0.1333,0.0
1,2026-05-27T22:57:40.298224,cartservice,4.78,5.5116,0.0
1,2026-05-27T22:57:40.298224,recommendationservice,4.89,3.8447,0.0
2,2026-05-27T22:58:10.391145,frontend,47.71,5.5556,0.0
2,2026-05-27T22:58:10.391145,productcatalogservice,2.98,29.8225,0.0
2,2026-05-27T22:58:10.391145,checkoutservice,24.25,0.2667,0.0
2,2026-05-27T22:58:10.391145,cartservice,4.78,5.6223,0.0
2,2026-05-27T22:58:10.391145,recommendationservice,4.86,4.0889,0.0
3,2026-05-27T22:58:40.429334,frontend,48.37,5.2891,0.0
3,2026-05-27T22:58:40.429334,productcatalogservice,2.69,29.8061,0.0
3,2026-05-27T22:58:40.429334,checkoutservice,24.25,0.2667,0.0
3,2026-05-27T22:58:40.429334,cartservice,4.78,5.0891,0.0
3,2026-05-27T22:58:40.429334,recommendationservice,4.82,3.6891,0.0
4,2026-05-27T22:59:10.466931,frontend,49.33,4.8003,0.0
4,2026-05-27T22:59:10.466931,productcatalogservice,3.24,26.1568,0.0
4,2026-05-27T22:59:10.466931,checkoutservice,24.25,0.0889,0.0
4,2026-05-27T22:59:10.466931,cartservice,4.79,4.578,0.0
4,2026-05-27T22:59:10.466931,recommendationservice,4.9,3.5335,0.0
5,2026-05-27T22:59:40.508290,frontend,48.75,5.2003,0.0
5,2026-05-27T22:59:40.508290,productcatalogservice,2.84,28.3797,0.0
5,2026-05-27T22:59:40.508290,checkoutservice,24.25,0.0889,0.0
5,2026-05-27T22:59:40.508290,cartservice,4.78,5.1337,0.0
5,2026-05-27T22:59:40.508290,recommendationservice,4.87,3.667,0.0
6,2026-05-27T23:00:10.594782,frontend,51.56,5.7335,0.0
6,2026-05-27T23:00:10.594782,productcatalogservice,2.3,34.6012,0.0
6,2026-05-27T23:00:10.594782,checkoutservice,45.0,0.1778,0.0
6,2026-05-27T23:00:10.594782,cartservice,4.81,5.8446,0.0
6,2026-05-27T23:00:10.594782,recommendationservice,4.86,4.4669,0.0
7,2026-05-27T23:00:40.648341,frontend,47.64,5.4004,0.0
7,2026-05-27T23:00:40.648341,productcatalogservice,2.54,29.4241,0.0
7,2026-05-27T23:00:40.648341,checkoutservice,24.25,0.0444,0.0
7,2026-05-27T23:00:40.648341,cartservice,4.82,5.0669,0.0
7,2026-05-27T23:00:40.648341,recommendationservice,4.86,3.8669,0.0
8,2026-05-27T23:01:10.704164,frontend,48.75,6.0892,0.0
8,2026-05-27T23:01:10.704164,productcatalogservice,2.29,30.4236,0.0
8,2026-05-27T23:01:10.704164,checkoutservice,24.25,0.1778,0.0
8,2026-05-27T23:01:10.704164,cartservice,4.8,5.578,0.0
8,2026-05-27T23:01:10.704164,recommendationservice,4.84,3.978,0.0
9,2026-05-27T23:01:40.797787,frontend,47.65,4.9337,0.0
9,2026-05-27T23:01:40.797787,productcatalogservice,2.8,25.6242,0.0
9,2026-05-27T23:01:40.797787,checkoutservice,24.25,0.0889,0.0
9,2026-05-27T23:01:40.797787,cartservice,4.85,4.3114,0.0
9,2026-05-27T23:01:40.797787,recommendationservice,4.92,3.4669,0.0
10,2026-05-27T23:02:10.884431,frontend,87.0,4.6891,0.0
10,2026-05-27T23:02:10.884431,productcatalogservice,2.6,26.779,0.0
10,2026-05-27T23:02:10.884431,checkoutservice,24.25,0.1778,0.0
10,2026-05-27T23:02:10.884431,cartservice,4.83,4.7558,0.0
10,2026-05-27T23:02:10.884431,recommendationservice,4.88,3.3557,0.0
11,2026-05-27T23:02:40.921973,frontend,47.43,5.9336,0.0
11,2026-05-27T23:02:40.921973,productcatalogservice,2.58,31.9792,0.0
11,2026-05-27T23:02:40.921973,checkoutservice,44.37,0.4,0.0
11,2026-05-27T23:02:40.921973,cartservice,4.78,6.0225,0.0
11,2026-05-27T23:02:40.921973,recommendationservice,4.84,3.8891,0.0
12,2026-05-27T23:03:11.013767,frontend,46.06,6.0003,0.0
12,2026-05-27T23:03:11.013767,productcatalogservice,2.66,31.5125,0.0
12,2026-05-27T23:03:11.013767,checkoutservice,24.25,0.2667,0.0
12,2026-05-27T23:03:11.013767,cartservice,4.78,5.5336,0.0
12,2026-05-27T23:03:11.013767,recommendationservice,4.88,4.0002,0.0
13,2026-05-27T23:03:41.077048,frontend,44.56,5.3559,0.0
13,2026-05-27T23:03:41.077048,productcatalogservice,1.96,29.3576,0.0
13,2026-05-27T23:03:41.077048,checkoutservice,24.25,0.2222,0.0
13,2026-05-27T23:03:41.077048,cartservice,4.79,5.0892,0.0
13,2026-05-27T23:03:41.077048,recommendationservice,4.86,3.9781,0.0
14,2026-05-27T23:04:11.113751,frontend,48.75,5.4446,0.0
14,2026-05-27T23:04:11.113751,productcatalogservice,1.71,28.801,0.0
14,2026-05-27T23:04:11.113751,checkoutservice,24.25,0.2,0.0
14,2026-05-27T23:04:11.113751,cartservice,4.79,4.9112,0.0
14,2026-05-27T23:04:11.113751,recommendationservice,4.87,3.9112,0.0
15,2026-05-27T23:04:41.369049,frontend,46.18,6.0891,0.0
15,2026-05-27T23:04:41.369049,productcatalogservice,2.08,31.9792,0.0
15,2026-05-27T23:04:41.369049,checkoutservice,24.25,0.2667,0.0
15,2026-05-27T23:04:41.369049,cartservice,4.78,6.1558,0.0
15,2026-05-27T23:04:41.369049,recommendationservice,4.91,4.2002,0.0
16,2026-05-27T23:05:11.458707,frontend,49.55,5.9558,0.0
16,2026-05-27T23:05:11.458707,productcatalogservice,2.54,29.779,0.0
16,2026-05-27T23:05:11.458707,checkoutservice,24.25,0.4445,0.0
16,2026-05-27T23:05:11.458707,cartservice,4.78,5.8669,0.0
16,2026-05-27T23:05:11.458707,recommendationservice,4.93,4.0224,0.0
17,2026-05-27T23:05:41.495245,frontend,47.7,5.4224,0.0
17,2026-05-27T23:05:41.495245,productcatalogservice,2.08,27.3117,0.0
17,2026-05-27T23:05:41.495245,checkoutservice,24.25,0.3556,0.0
17,2026-05-27T23:05:41.495245,cartservice,4.8,5.6446,0.0
17,2026-05-27T23:05:41.495245,recommendationservice,4.9,3.7334,0.0
18,2026-05-27T23:06:11.531190,frontend,47.87,5.8895,0.0
18,2026-05-27T23:06:11.531190,productcatalogservice,2.87,28.4924,0.0
18,2026-05-27T23:06:11.531190,checkoutservice,24.25,0.2222,0.0
18,2026-05-27T23:06:11.531190,cartservice,4.82,5.6451,0.0
18,2026-05-27T23:06:11.531190,recommendationservice,4.98,3.8004,0.0
19,2026-05-27T23:06:41.571999,frontend,45.7,5.5111,0.0
19,2026-05-27T23:06:41.571999,productcatalogservice,2.83,29.0664,0.0
19,2026-05-27T23:06:41.571999,checkoutservice,24.25,0.3556,0.0
