cycle,timestamp,phase,service,from_replicas,to_replicas,direction
51,2026-05-29T03:53:55.887070,FAULT_INJECTION,frontend,1,5,SCALE_UP
51,2026-05-29T03:53:55.887070,FAULT_INJECTION,productcatalogservice,1,5,SCALE_UP
51,2026-05-29T03:53:55.887070,FAULT_INJECTION,checkoutservice,1,5,SCALE_UP
51,2026-05-29T03:53:55.887070,FAULT_INJECTION,recommendationservice,1,5,SCALE_UP
67,2026-05-29T04:01:43.961073,RECOVERY,frontend,5,1,SCALE_DOWN
67,2026-05-29T04:01:43.961073,RECOVERY,productcatalogservice,5,1,SCALE_DOWN
67,2026-05-29T04:01:43.961073,RECOVERY,checkoutservice,5,1,SCALE_DOWN
67,2026-05-29T04:01:43.961073,RECOVERY,recommendationservice,5,1,SCALE_DOWN
