cycle,timestamp,phase,service,p95_ms,throughput_rps,cpu_cores,replicas
1,2026-05-29T03:28:29.321015,BASELINE,frontend,42.82,5.7565,0.0,1
1,2026-05-29T03:28:29.321015,BASELINE,productcatalogservice,2.82,30.7386,0.0,1
1,2026-05-29T03:28:29.321015,BASELINE,checkoutservice,40.0,0.3111,0.0,1
1,2026-05-29T03:28:29.321015,BASELINE,cartservice,4.78,5.6229,0.0,1
1,2026-05-29T03:28:29.321015,BASELINE,recommendationservice,4.95,4.0229,0.0,1
2,2026-05-29T03:29:00.384200,BASELINE,frontend,45.06,5.0008,0.0,1
2,2026-05-29T03:29:00.384200,BASELINE,productcatalogservice,3.18,26.6478,0.0,1
2,2026-05-29T03:29:00.384200,BASELINE,checkoutservice,24.25,0.1778,0.0,1
2,2026-05-29T03:29:00.384200,BASELINE,cartservice,4.79,4.9783,0.0,1
2,2026-05-29T03:29:00.384200,BASELINE,recommendationservice,4.97,3.6006,0.0,1
3,2026-05-29T03:29:31.546619,BASELINE,frontend,46.96,5.023,0.0,1
3,2026-05-29T03:29:31.546619,BASELINE,productcatalogservice,3.37,26.9382,0.0,1
3,2026-05-29T03:29:31.546619,BASELINE,checkoutservice,46.25,0.1333,0.0,1
3,2026-05-29T03:29:31.546619,BASELINE,cartservice,4.84,4.6894,0.0,1
3,2026-05-29T03:29:31.546619,BASELINE,recommendationservice,4.85,3.3117,0.0,1
4,2026-05-29T03:30:02.669673,BASELINE,frontend,47.71,5.8233,0.0,1
4,2026-05-29T03:30:02.669673,BASELINE,productcatalogservice,2.91,31.9164,0.0,1
4,2026-05-29T03:30:02.669673,BASELINE,checkoutservice,43.12,0.2445,0.0,1
4,2026-05-29T03:30:02.669673,BASELINE,cartservice,4.79,5.5121,0.0,1
4,2026-05-29T03:30:02.669673,BASELINE,recommendationservice,4.87,4.001,0.0,1
5,2026-05-29T03:30:33.731582,BASELINE,frontend,62.69,5.5348,0.0,1
5,2026-05-29T03:30:33.731582,BASELINE,productcatalogservice,3.72,32.342,0.0,1
5,2026-05-29T03:30:33.731582,BASELINE,checkoutservice,44.58,0.3112,0.0,1
5,2026-05-29T03:30:33.731582,BASELINE,cartservice,4.84,5.8238,0.0,1
5,2026-05-29T03:30:33.731582,BASELINE,recommendationservice,7.71,4.29,0.0,1
6,2026-05-29T03:31:04.804369,BASELINE,frontend,49.81,5.4011,0.0,1
6,2026-05-29T03:31:04.804369,BASELINE,productcatalogservice,3.22,28.7394,0.0,1
6,2026-05-29T03:31:04.804369,BASELINE,checkoutservice,24.25,0.2223,0.0,1
6,2026-05-29T03:31:04.804369,BASELINE,cartservice,4.81,5.0677,0.0,1
6,2026-05-29T03:31:04.804369,BASELINE,recommendationservice,6.82,3.8898,0.0,1
7,2026-05-29T03:31:36.590023,BASELINE,frontend,49.9,5.4899,0.0,1
7,2026-05-29T03:31:36.590023,BASELINE,productcatalogservice,3.87,29.1603,0.0,1
7,2026-05-29T03:31:36.590023,BASELINE,checkoutservice,82.5,0.3112,0.0,1
7,2026-05-29T03:31:36.590023,BASELINE,cartservice,4.79,5.401,0.0,1
7,2026-05-29T03:31:36.590023,BASELINE,recommendationservice,7.68,3.7117,0.0,1
8,2026-05-29T03:32:07.767411,BASELINE,frontend,49.95,5.4239,0.0,1
