cycle,timestamp,service,p95_ms,throughput_rps,cpu_cores
1,2026-05-27T15:15:22.445522,frontend,0.0,0.0,0.0
1,2026-05-27T15:15:22.445522,productcatalogservice,0.0,0.0,0.0
1,2026-05-27T15:15:22.445522,checkoutservice,0.0,0.0,0.0
1,2026-05-27T15:15:22.445522,cartservice,0.0,0.0,0.0
1,2026-05-27T15:15:22.445522,recommendationservice,0.0,0.0,0.0
2,2026-05-27T15:15:52.510312,frontend,93.31,3.7999,0.0
2,2026-05-27T15:15:52.510312,productcatalogservice,4.7,2.4182,0.0
2,2026-05-27T15:15:52.510312,checkoutservice,90.0,0.1473,0.0
2,2026-05-27T15:15:52.510312,cartservice,4.8,0.6874,0.0
2,2026-05-27T15:15:52.510312,recommendationservice,nan,0.0,0.0
3,2026-05-27T15:16:22.569519,frontend,93.76,5.2449,0.0
3,2026-05-27T15:16:22.569519,productcatalogservice,4.7,3.4224,0.0
3,2026-05-27T15:16:22.569519,checkoutservice,95.0,0.0889,0.0
3,2026-05-27T15:16:22.569519,cartservice,4.95,0.5778,0.0
3,2026-05-27T15:16:22.569519,recommendationservice,nan,0.0,0.0
4,2026-05-27T15:16:52.828638,frontend,93.15,5.1782,0.0
4,2026-05-27T15:16:52.828638,productcatalogservice,4.66,2.9558,0.0
4,2026-05-27T15:16:52.828638,checkoutservice,nan,0.0,0.0
4,2026-05-27T15:16:52.828638,cartservice,4.98,0.4889,0.0
4,2026-05-27T15:16:52.828638,recommendationservice,nan,0.0,0.0
5,2026-05-27T15:17:22.873116,frontend,92.28,5.6893,0.0
5,2026-05-27T15:17:22.873116,productcatalogservice,4.63,3.0224,0.0
5,2026-05-27T15:17:22.873116,checkoutservice,96.25,0.1333,0.0
5,2026-05-27T15:17:22.873116,cartservice,4.8,0.8445,0.0
5,2026-05-27T15:17:22.873116,recommendationservice,nan,0.0,0.0
6,2026-05-27T15:17:52.971500,frontend,93.36,6.1559,0.0
6,2026-05-27T15:17:52.971500,productcatalogservice,4.65,3.4891,0.0
6,2026-05-27T15:17:52.971500,checkoutservice,95.0,0.0889,0.0
6,2026-05-27T15:17:52.971500,cartservice,4.8,0.8889,0.0
