cycle,timestamp,service,p95_ms,throughput_rps,cpu_cores
1,2026-05-27T21:45:45.385616,frontend,90.52,4.9781,0.0
1,2026-05-27T21:45:45.385616,productcatalogservice,4.47,2.5482,0.0
1,2026-05-27T21:45:45.385616,checkoutservice,93.75,0.2222,0.0
1,2026-05-27T21:45:45.385616,cartservice,4.8,0.5778,0.0
1,2026-05-27T21:45:45.385616,recommendationservice,nan,0.0,0.0
2,2026-05-27T21:46:15.448453,frontend,92.66,5.1781,0.0
2,2026-05-27T21:46:15.448453,productcatalogservice,4.63,2.7335,0.0
2,2026-05-27T21:46:15.448453,checkoutservice,90.0,0.2222,0.0
2,2026-05-27T21:46:15.448453,cartservice,4.8,0.7778,0.0
2,2026-05-27T21:46:15.448453,recommendationservice,nan,0.0,0.0
3,2026-05-27T21:46:45.496039,frontend,93.34,5.9782,0.0
3,2026-05-27T21:46:45.496039,productcatalogservice,4.58,3.7112,0.0
3,2026-05-27T21:46:45.496039,checkoutservice,87.5,0.2222,0.0
3,2026-05-27T21:46:45.496039,cartservice,4.8,0.9778,0.0
3,2026-05-27T21:46:45.496039,recommendationservice,nan,0.0,0.0
4,2026-05-27T21:47:15.543811,frontend,94.25,5.5115,0.0
4,2026-05-27T21:47:15.543811,productcatalogservice,4.59,3.3113,0.0
4,2026-05-27T21:47:15.543811,checkoutservice,96.25,0.1778,0.0
4,2026-05-27T21:47:15.543811,cartservice,4.8,0.7556,0.0
4,2026-05-27T21:47:15.543811,recommendationservice,nan,0.0,0.0
5,2026-05-27T21:47:45.591438,frontend,94.0,4.9559,0.0
5,2026-05-27T21:47:45.591438,productcatalogservice,4.6,2.8446,0.0
5,2026-05-27T21:47:45.591438,checkoutservice,97.5,0.1333,0.0
5,2026-05-27T21:47:45.591438,cartservice,4.8,0.4445,0.0
5,2026-05-27T21:47:45.591438,recommendationservice,nan,0.0,0.0
6,2026-05-27T21:48:15.685369,frontend,93.23,5.3559,0.0
6,2026-05-27T21:48:15.685369,productcatalogservice,4.57,3.2001,0.0
6,2026-05-27T21:48:15.685369,checkoutservice,90.0,0.1778,0.0
6,2026-05-27T21:48:15.685369,cartservice,4.8,0.6222,0.0
6,2026-05-27T21:48:15.685369,recommendationservice,nan,0.0,0.0
7,2026-05-27T21:48:45.729577,frontend,96.28,4.9559,0.0
7,2026-05-27T21:48:45.729577,productcatalogservice,4.6,3.4002,0.0
7,2026-05-27T21:48:45.729577,checkoutservice,96.25,0.0444,0.0
7,2026-05-27T21:48:45.729577,cartservice,4.8,0.4889,0.0
7,2026-05-27T21:48:45.729577,recommendationservice,nan,0.2667,0.0
8,2026-05-27T21:49:15.771639,frontend,146.07,5.5559,0.0
8,2026-05-27T21:49:15.771639,productcatalogservice,3.48,21.8233,0.0
8,2026-05-27T21:49:15.771639,checkoutservice,475.0,0.0889,0.0
8,2026-05-27T21:49:15.771639,cartservice,4.78,3.8669,0.0
8,2026-05-27T21:49:15.771639,recommendationservice,8.25,2.7557,0.0
9,2026-05-27T21:49:45.842363,frontend,49.88,6.1337,0.0
9,2026-05-27T21:49:45.842363,productcatalogservice,2.96,33.0459,0.0
9,2026-05-27T21:49:45.842363,checkoutservice,400.0,0.1778,0.0
9,2026-05-27T21:49:45.842363,cartservice,4.78,5.8447,0.0
9,2026-05-27T21:49:45.842363,recommendationservice,4.93,3.7558,0.0
10,2026-05-27T21:50:15.884081,frontend,49.77,5.9337,0.0
10,2026-05-27T21:50:15.884081,productcatalogservice,2.73,34.4235,0.0
10,2026-05-27T21:50:15.884081,checkoutservice,80.0,0.3556,0.0
10,2026-05-27T21:50:15.884081,cartservice,4.83,5.9779,0.0
10,2026-05-27T21:50:15.884081,recommendationservice,4.95,4.0669,0.0
