cycle,timestamp,phase,service,p95_ms,throughput_rps,cpu_cores,replicas
1,2026-05-29T00:55:09.683920,BASELINE,frontend,65.0,5.3563,0.0,1
1,2026-05-29T00:55:09.683920,BASELINE,productcatalogservice,3.19,27.6481,0.0,1
1,2026-05-29T00:55:09.683920,BASELINE,checkoutservice,24.25,0.1334,0.0,1
1,2026-05-29T00:55:09.683920,BASELINE,cartservice,4.78,4.734,0.0,1
1,2026-05-29T00:55:09.683920,BASELINE,recommendationservice,4.95,3.556,0.0,1
7,2026-05-29T00:55:30.586494,BASELINE,frontend,49.23,5.3993,0.0,1
7,2026-05-29T00:55:30.586494,BASELINE,productcatalogservice,3.46,31.8852,0.0,1
7,2026-05-29T00:55:30.586494,BASELINE,checkoutservice,45.62,0.1778,0.0,1
7,2026-05-29T00:55:30.586494,BASELINE,cartservice,4.84,5.3774,0.0,1
7,2026-05-29T00:55:30.586494,BASELINE,recommendationservice,7.74,4.2219,0.0,1
2,2026-05-29T00:55:40.777153,BASELINE,frontend,48.78,5.4218,0.0,1
2,2026-05-29T00:55:40.777153,BASELINE,productcatalogservice,3.53,32.2198,0.0,1
2,2026-05-29T00:55:40.777153,BASELINE,checkoutservice,45.62,0.1778,0.0,1
2,2026-05-29T00:55:40.777153,BASELINE,cartservice,4.84,5.3774,0.0,1
2,2026-05-29T00:55:40.777153,BASELINE,recommendationservice,7.74,4.2219,0.0,1
8,2026-05-29T00:56:01.684413,BASELINE,frontend,48.31,5.3117,0.0,1
8,2026-05-29T00:56:01.684413,BASELINE,productcatalogservice,3.79,31.5563,0.0,1
8,2026-05-29T00:56:01.684413,BASELINE,checkoutservice,45.0,0.1778,0.0,1
8,2026-05-29T00:56:01.684413,BASELINE,cartservice,4.84,5.423,0.0,1
8,2026-05-29T00:56:01.684413,BASELINE,recommendationservice,8.08,4.2228,0.0,1
3,2026-05-29T00:56:11.877550,BASELINE,frontend,49.82,5.4895,0.0,1
3,2026-05-29T00:56:11.877550,BASELINE,productcatalogservice,3.61,30.8473,0.0,1
