cycle,timestamp,phase,service,p95_ms,throughput_rps,cpu_cores,replicas
49,2026-05-29T02:34:09.536198,FAULT_INJECTION,recommendationservice,6.91,4.1561,0.0,1
5,2026-05-29T02:34:16.475671,BASELINE,frontend,47.59,5.7121,0.0,1
5,2026-05-29T02:34:16.475671,BASELINE,productcatalogservice,3.34,32.8052,0.0,1
5,2026-05-29T02:34:16.475671,BASELINE,checkoutservice,43.75,0.2667,0.0,1
5,2026-05-29T02:34:16.475671,BASELINE,cartservice,4.86,5.8232,0.0,1
5,2026-05-29T02:34:16.475671,BASELINE,recommendationservice,7.17,4.2226,0.0,1
37,2026-05-29T02:34:16.739012,BASELINE,frontend,48.0,5.7563,0.0,1
37,2026-05-29T02:34:16.739012,BASELINE,productcatalogservice,3.34,32.8052,0.0,1
37,2026-05-29T02:34:16.739012,BASELINE,checkoutservice,43.75,0.2667,0.0,1
37,2026-05-29T02:34:16.739012,BASELINE,cartservice,4.86,5.8232,0.0,1
37,2026-05-29T02:34:16.739012,BASELINE,recommendationservice,7.17,4.2226,0.0,1
50,2026-05-29T02:34:40.683213,FAULT_INJECTION,frontend,47.48,5.3338,0.0,1
50,2026-05-29T02:34:40.683213,FAULT_INJECTION,productcatalogservice,3.57,28.9361,0.0,1
50,2026-05-29T02:34:40.683213,FAULT_INJECTION,checkoutservice,24.25,0.2222,0.0,1
50,2026-05-29T02:34:40.683213,FAULT_INJECTION,cartservice,4.88,5.2894,0.0,1
50,2026-05-29T02:34:40.683213,FAULT_INJECTION,recommendationservice,7.47,3.9781,0.0,1
6,2026-05-29T02:34:47.578328,BASELINE,frontend,47.48,5.4001,0.0,1
6,2026-05-29T02:34:47.578328,BASELINE,productcatalogservice,3.42,29.7351,0.0,1
6,2026-05-29T02:34:47.578328,BASELINE,checkoutservice,24.25,0.2889,0.0,1
6,2026-05-29T02:34:47.578328,BASELINE,cartservice,4.86,5.6893,0.0,1
6,2026-05-29T02:34:47.578328,BASELINE,recommendationservice,6.68,4.0445,0.0,1
38,2026-05-29T02:34:47.827008,BASELINE,frontend,47.48,5.4001,0.0,1
38,2026-05-29T02:34:47.827008,BASELINE,productcatalogservice,3.42,29.7351,0.0,1
38,2026-05-29T02:34:47.827008,BASELINE,checkoutservice,24.25,0.2889,0.0,1
38,2026-05-29T02:34:47.827008,BASELINE,cartservice,4.86,5.6893,0.0,1
38,2026-05-29T02:34:47.827008,BASELINE,recommendationservice,6.68,4.0445,0.0,1
51,2026-05-29T02:35:11.758093,FAULT_INJECTION,frontend,47.32,5.8,0.0,1
