cycle,timestamp,phase,service,from_replicas,to_replicas,direction
58,2026-05-29T02:38:49.776317,FAULT_INJECTION,frontend,1,5,SCALE_UP
58,2026-05-29T02:38:49.776317,FAULT_INJECTION,productcatalogservice,1,5,SCALE_UP
58,2026-05-29T02:38:49.776317,FAULT_INJECTION,checkoutservice,1,5,SCALE_UP
58,2026-05-29T02:38:49.776317,FAULT_INJECTION,recommendationservice,1,5,SCALE_UP
14,2026-05-29T02:38:56.849268,BASELINE,frontend,1,5,SCALE_UP
14,2026-05-29T02:38:56.849268,BASELINE,productcatalogservice,1,5,SCALE_UP
14,2026-05-29T02:38:56.849268,BASELINE,checkoutservice,1,5,SCALE_UP
14,2026-05-29T02:38:56.849268,BASELINE,recommendationservice,1,5,SCALE_UP
47,2026-05-29T02:38:58.612483,FAULT_INJECTION,frontend,1,5,SCALE_UP
47,2026-05-29T02:38:58.612483,FAULT_INJECTION,productcatalogservice,1,5,SCALE_UP
47,2026-05-29T02:38:58.612483,FAULT_INJECTION,checkoutservice,1,5,SCALE_UP
47,2026-05-29T02:38:58.612483,FAULT_INJECTION,recommendationservice,1,5,SCALE_UP
28,2026-05-29T02:46:14.774051,BASELINE,frontend,5,1,SCALE_DOWN
28,2026-05-29T02:46:14.774051,BASELINE,productcatalogservice,5,1,SCALE_DOWN
28,2026-05-29T02:46:14.774051,BASELINE,checkoutservice,5,1,SCALE_DOWN
28,2026-05-29T02:46:14.774051,BASELINE,recommendationservice,5,1,SCALE_DOWN
62,2026-05-29T02:46:17.919031,RECOVERY,frontend,5,1,SCALE_DOWN
62,2026-05-29T02:46:17.919031,RECOVERY,productcatalogservice,5,1,SCALE_DOWN
62,2026-05-29T02:46:17.919031,RECOVERY,checkoutservice,5,1,SCALE_DOWN
62,2026-05-29T02:46:17.919031,RECOVERY,recommendationservice,5,1,SCALE_DOWN
