cycle,timestamp,service,p95_ms,throughput_rps,cpu_cores
1,2026-05-28T17:14:47.919884,frontend,47.79,5.0669,0.0
1,2026-05-28T17:14:47.919884,productcatalogservice,3.12,31.29,0.0
1,2026-05-28T17:14:47.919884,checkoutservice,24.25,0.2222,0.0
1,2026-05-28T17:14:47.919884,cartservice,4.79,5.1781,0.0
1,2026-05-28T17:14:47.919884,recommendationservice,4.86,4.1336,0.0
2,2026-05-28T17:15:17.983657,frontend,48.25,5.2446,0.0
2,2026-05-28T17:15:17.983657,productcatalogservice,2.71,30.4011,0.0
2,2026-05-28T17:15:17.983657,checkoutservice,24.25,0.2222,0.0
2,2026-05-28T17:15:17.983657,cartservice,4.78,5.2224,0.0
2,2026-05-28T17:15:17.983657,recommendationservice,4.89,3.8668,0.0
3,2026-05-28T17:15:48.040052,frontend,48.94,6.0225,0.0
3,2026-05-28T17:15:48.040052,productcatalogservice,2.73,31.5128,0.0
3,2026-05-28T17:15:48.040052,checkoutservice,24.25,0.1778,0.0
3,2026-05-28T17:15:48.040052,cartservice,4.8,5.667,0.0
3,2026-05-28T17:15:48.040052,recommendationservice,4.88,4.1336,0.0
4,2026-05-28T17:16:18.086455,frontend,49.59,5.9114,0.0
4,2026-05-28T17:16:18.086455,productcatalogservice,2.62,33.1567,0.0
4,2026-05-28T17:16:18.086455,checkoutservice,24.25,0.4,0.0
4,2026-05-28T17:16:18.086455,cartservice,4.8,5.8669,0.0
4,2026-05-28T17:16:18.086455,recommendationservice,4.88,4.1558,0.0
5,2026-05-28T17:16:48.168923,frontend,47.22,5.4002,0.0
5,2026-05-28T17:16:48.168923,productcatalogservice,2.69,29.0235,0.0
5,2026-05-28T17:16:48.168923,checkoutservice,24.25,0.3111,0.0
5,2026-05-28T17:16:48.168923,cartservice,4.78,5.3558,0.0
5,2026-05-28T17:16:48.168923,recommendationservice,4.8,3.8224,0.0
6,2026-05-28T17:17:18.283715,frontend,47.06,5.8447,0.0
6,2026-05-28T17:17:18.283715,productcatalogservice,2.88,30.9788,0.0
6,2026-05-28T17:17:18.283715,checkoutservice,24.25,0.1778,0.0
6,2026-05-28T17:17:18.283715,cartservice,4.8,5.6891,0.0
6,2026-05-28T17:17:18.283715,recommendationservice,4.88,4.178,0.0
7,2026-05-28T17:17:48.368590,frontend,47.26,5.378,0.0
7,2026-05-28T17:17:48.368590,productcatalogservice,2.86,29.6902,0.0
7,2026-05-28T17:17:48.368590,checkoutservice,24.25,0.0889,0.0
7,2026-05-28T17:17:48.368590,cartservice,4.78,5.2669,0.0
7,2026-05-28T17:17:48.368590,recommendationservice,4.91,3.8891,0.0
8,2026-05-28T17:18:18.419088,frontend,48.09,5.7557,0.0
8,2026-05-28T17:18:18.419088,productcatalogservice,2.86,31.2681,0.0
8,2026-05-28T17:18:18.419088,checkoutservice,24.25,0.2667,0.0
8,2026-05-28T17:18:18.419088,cartservice,4.8,5.7335,0.0
8,2026-05-28T17:18:18.419088,recommendationservice,4.91,4.1112,0.0
9,2026-05-28T17:18:48.468159,frontend,48.98,5.178,0.0
9,2026-05-28T17:18:48.468159,productcatalogservice,3.14,28.2238,0.0
9,2026-05-28T17:18:48.468159,checkoutservice,24.25,0.2667,0.0
9,2026-05-28T17:18:48.468159,cartservice,4.84,5.0447,0.0
9,2026-05-28T17:18:48.468159,recommendationservice,4.99,3.7779,0.0
10,2026-05-28T17:19:18.527753,frontend,47.71,5.067,0.0
10,2026-05-28T17:19:18.527753,productcatalogservice,3.45,28.4686,0.0
10,2026-05-28T17:19:18.527753,checkoutservice,24.25,0.1778,0.0
10,2026-05-28T17:19:18.527753,cartservice,4.83,4.9781,0.0
10,2026-05-28T17:19:18.527753,recommendationservice,6.0,3.778,0.0
11,2026-05-28T17:19:48.580985,frontend,54.25,6.467,0.0
11,2026-05-28T17:19:48.580985,productcatalogservice,2.95,32.9123,0.0
11,2026-05-28T17:19:48.580985,checkoutservice,24.25,0.4222,0.0
11,2026-05-28T17:19:48.580985,cartservice,4.83,6.667,0.0
11,2026-05-28T17:19:48.580985,recommendationservice,4.96,4.5335,0.0
12,2026-05-28T17:20:18.623506,frontend,47.08,6.9116,0.0
12,2026-05-28T17:20:18.623506,productcatalogservice,1.72,37.0473,0.0
12,2026-05-28T17:20:18.623506,checkoutservice,24.25,0.4889,0.0
12,2026-05-28T17:20:18.623506,cartservice,4.8,6.9783,0.0
12,2026-05-28T17:20:18.623506,recommendationservice,4.87,4.867,0.0
13,2026-05-28T17:20:48.695102,frontend,49.44,6.0004,0.0
13,2026-05-28T17:20:48.695102,productcatalogservice,1.97,31.735,0.0
13,2026-05-28T17:20:48.695102,checkoutservice,24.25,0.2222,0.0
13,2026-05-28T17:20:48.695102,cartservice,4.78,5.8448,0.0
13,2026-05-28T17:20:48.695102,recommendationservice,4.88,4.3336,0.0
14,2026-05-28T17:21:18.735852,frontend,44.96,5.0002,0.0
14,2026-05-28T17:21:18.735852,productcatalogservice,2.06,26.5793,0.0
14,2026-05-28T17:21:18.735852,checkoutservice,24.25,0.1778,0.0
14,2026-05-28T17:21:18.735852,cartservice,4.77,4.7335,0.0
14,2026-05-28T17:21:18.735852,recommendationservice,4.93,3.3779,0.0
15,2026-05-28T17:21:48.781288,frontend,44.19,4.8225,0.0
